CF_Scaffold_ID,CF_Scaffold_SMILES,NATx_SMILES,NATx_ID,Substructure_SMILES,Chemotype
F001,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,COc1ccc(CN2C[C@H](O)C[C@H]2c2nc(-c3ccc(OC(F)(F)F)cc3)no2)c2ccccc12,NAT18-348736,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,97
F001,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,CC(=O)N1CCC(N2C[C@H](O)C[C@H]2c2nc(-c3ccc(OC(F)(F)F)cc3)no2)CC1,NAT18-348737,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,97
F001,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,COc1ccc(CN2C[C@H](O)C[C@H]2c2nc(-c3ccc(OC(F)(F)F)cc3)no2)cc1,NAT18-348738,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,97
F001,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,O[C@@H]1C[C@@H](c2nc(-c3ccc(OC(F)(F)F)cc3)no2)N(Cc2ccccc2)C1,NAT18-348739,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,97
F001,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,O[C@@H]1C[C@@H](c2nc(-c3ccc(OC(F)(F)F)cc3)no2)N(Cc2ccc(Cl)cc2)C1,NAT18-348745,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,97
F001,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,N#Cc1cccc(CN2C[C@H](O)C[C@H]2c2nc(-c3ccc(OC(F)(F)F)cc3)no2)c1,NAT18-348746,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,97
F001,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,O[C@@H]1C[C@@H](c2nc(-c3ccc(OC(F)(F)F)cc3)no2)N(CC2CCCCC2)C1,NAT18-348747,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,97
F001,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,O[C@@H]1C[C@@H](c2nc(-c3ccc(OC(F)(F)F)cc3)no2)N(C2CCCCC2)C1,NAT18-348748,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,97
F001,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,CN(C)c1ccc(CN2C[C@H](O)C[C@H]2c2nc(-c3ccc(OC(F)(F)F)cc3)no2)cc1,NAT18-348750,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,97
F001,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,O[C@@H]1C[C@@H](c2nc(-c3ccc(OC(F)(F)F)cc3)no2)N(Cc2ccc(F)cc2)C1,NAT18-348752,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,97
F001,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,OCc1ccc(CN2C[C@H](O)C[C@H]2c2nc(-c3ccc(OC(F)(F)F)cc3)no2)o1,NAT18-348755,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,97
F001,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,O[C@@H]1C[C@@H](c2nc(-c3ccc(OC(F)(F)F)cc3)no2)N(Cc2c[nH]c3ccccc23)C1,NAT18-348757,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,97
F001,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,CN1CCC(N2C[C@H](O)C[C@H]2c2nc(-c3ccc(OC(F)(F)F)cc3)no2)CC1,NAT18-348763,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,97
F001,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,O=[N+]([O-])c1ccc(CN2C[C@H](O)C[C@H]2c2nc(-c3ccc(OC(F)(F)F)cc3)no2)cc1,NAT18-348765,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,97
F001,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,O[C@@H]1C[C@@H](c2nc(-c3ccc(OC(F)(F)F)cc3)no2)N(Cc2cccnc2)C1,NAT18-348769,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,97
F001,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,O[C@@H]1C[C@@H](c2nc(-c3ccc(OC(F)(F)F)cc3)no2)N(Cc2ccncc2)C1,NAT18-348770,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,97
F001,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,O[C@@H]1C[C@@H](c2nc(-c3ccc(OC(F)(F)F)cc3)no2)N(C2CCOCC2)C1,NAT18-348772,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,97
